Symbol,Date,Time,Price,Volume,OpenInterest
DESIF2-MAR08,2007-04-11,16:19:32,3.67,0,0
DESIF2-MAR08,2007-04-12,11:33:21,3.52,2,4
DESIF2-MAR08,2007-04-13,12:12:19,3.6,2,8
DESIF2-MAR08,2007-04-13,12:19:19,3.6,8,24
DESIF2-MAR08,2007-04-13,12:23:26,3.6,2,28
DESIF2-MAR08,2007-04-13,12:29:16,3.6,18,64
DESIF2-MAR08,2007-04-13,15:52:42,3.6,1,66
DESIF2-MAR08,2007-04-16,10:12:07,3.6,2,66
DESIF2-MAR08,2007-04-16,12:04:23,3.69,7,74
DESIF2-MAR08,2007-04-17,14:34:21,3.8499,1,74
DESIF2-MAR08,2007-04-18,13:00:39,3.75,1,74
DESIF2-MAR08,2007-04-18,14:17:30,3.7,1,76
DESIF2-MAR08,2007-04-18,14:18:18,3.64,3,82
DESIF2-MAR08,2007-04-19,10:00:46,3.58,1,84
DESIF2-MAR08,2007-04-19,10:30:09,3.5,1,84
DESIF2-MAR08,2007-04-19,10:30:35,3.5,1,86
DESIF2-MAR08,2007-04-19,10:32:55,3.4,2,88
DESIF2-MAR08,2007-04-19,11:03:10,3.5,3,88
DESIF2-MAR08,2007-04-19,11:22:48,3.47,1,86
DESIF2-MAR08,2007-04-19,11:22:51,3.47,1,84
DESIF2-MAR08,2007-04-19,11:24:49,3.47,1,84
DESIF2-MAR08,2007-04-19,13:10:10,3.55,1,82
DESIF2-MAR08,2007-04-19,13:10:42,3.625,1,82
DESIF2-MAR08,2007-04-19,13:44:53,3.6499,1,84
DESIF2-MAR08,2007-04-20,15:28:59,3.7,2,84
DESIF2-MAR08,2007-04-20,15:34:41,3.7496,1,86
DESIF2-MAR08,2007-04-20,15:42:55,3.7497,1,84
DESIF2-MAR08,2007-04-23,10:35:12,3.75,1,82
DESIF2-MAR08,2007-04-23,13:12:16,3.9,1,82
DESIF2-MAR08,2007-04-24,10:00:13,3.8999,1,82
DESIF2-MAR08,2007-04-24,10:33:35,3.8,1,82
DESIF2-MAR08,2007-04-24,11:03:28,3.615,1,82
DESIF2-MAR08,2007-04-25,14:01:27,3.653,1,82
DESIF2-MAR08,2007-04-25,14:01:50,3.65,9,82
DESIF2-MAR08,2007-04-25,14:03:39,3.65,1,82
DESIF2-MAR08,2007-04-25,14:04:30,3.65,19,82
DESIF2-MAR08,2007-04-25,15:18:40,3.65,1,84
DESIF2-MAR08,2007-04-25,15:34:32,3.65,1,86
DESIF2-MAR08,2007-04-26,16:02:36,3.74,0,86
DESIF2-MAR08,2007-05-03,10:11:08,3.93,1,86
DESIF2-MAR08,2007-05-04,16:10:59,3.8875,0,86
DESIF2-MAR08,2007-05-07,16:10:57,3.9,0,86
DESIF2-MAR08,2007-05-08,11:54:09,3.75,1,88
DESIF2-MAR08,2007-05-09,11:24:47,3.715,1,88
DESIF2-MAR08,2007-05-09,11:29:22,3.7,1,90
DESIF2-MAR08,2007-05-09,11:42:58,3.66,1,92
DESIF2-MAR08,2007-05-09,11:44:24,3.65,1,94
DESIF2-MAR08,2007-05-09,13:22:15,3.65,1,96
DESIF2-MAR08,2007-05-09,15:48:38,3.8,2,94
DESIF2-MAR08,2007-05-10,10:51:21,3.6,1,96
DESIF2-MAR08,2007-05-10,13:52:58,3.75,1,96
DESIF2-MAR08,2007-05-11,16:03:46,3.8495,0,96
DESIF2-MAR08,2007-05-14,16:03:28,3.9,0,96
DESIF2-MAR08,2007-05-15,16:03:22,3.875,0,96
DESIF2-MAR08,2007-05-16,10:23:49,3.61,1,98
DESIF2-MAR08,2007-05-16,10:24:06,3.63,1,98
DESIF2-MAR08,2007-05-16,15:35:38,3.8,1,98
DESIF2-MAR08,2007-05-17,10:47:37,3.75,5,108
DESIF2-MAR08,2007-05-17,11:58:19,3.75,1,108
DESIF2-MAR08,2007-05-17,15:52:51,3.8,6,120
DESIF2-MAR08,2007-05-17,15:53:05,3.8,4,120
DESIF2-MAR08,2007-05-18,16:05:50,3.755,0,120
DESIF2-MAR08,2007-05-21,11:15:44,3.701,1,122
DESIF2-MAR08,2007-05-22,11:39:53,3.68,3,126
DESIF2-MAR08,2007-05-23,12:06:29,3.799,2,126
DESIF2-MAR08,2007-05-24,16:05:43,3.8549,0,126
DESIF2-MAR08,2007-05-25,10:08:16,3.65,1,128
DESIF2-MAR08,2007-05-25,15:53:29,3.8,2,124
DESIF2-MAR08,2007-05-28,16:04:54,3.765,0,124
DESIF2-MAR08,2007-05-29,11:31:21,3.65,1,126
DESIF2-MAR08,2007-05-29,11:37:35,3.67,1,128
DESIF2-MAR08,2007-05-29,15:36:50,3.66,1,128
DESIF2-MAR08,2007-05-30,15:29:27,3.65,1,130
DESIF2-MAR08,2007-05-30,15:58:25,3.65,1,132
DESIF2-MAR08,2007-05-31,10:21:07,3.6,1,132
DESIF2-MAR08,2007-05-31,11:48:49,3.66,1,132
DESIF2-MAR08,2007-06-01,16:05:00,3.71,0,132
DESIF2-MAR08,2007-06-04,15:21:40,3.75,1,132
DESIF2-MAR08,2007-06-06,16:12:06,3.725,0,132
DESIF2-MAR08,2007-06-07,16:04:12,3.755,0,132
DESIF2-MAR08,2007-06-08,16:10:25,3.775,0,132
DESIF2-MAR08,2007-06-11,16:08:26,3.8,0,132
DESIF2-MAR08,2007-06-12,12:01:20,3.84,2,128
DESIF2-MAR08,2007-06-13,12:51:40,3.775,1,128
DESIF2-MAR08,2007-06-13,13:41:23,3.7,2,130
DESIF2-MAR08,2007-06-14,14:52:40,3.8,1,128
DESIF2-MAR08,2007-06-14,14:57:22,3.8,1,128
DESIF2-MAR08,2007-06-18,15:29:52,3.8998,25,128
DESIF2-MAR08,2007-06-19,16:04:12,3.84,0,128
DESIF2-MAR08,2007-06-20,16:04:27,3.8724,0,128
DESIF2-MAR08,2007-06-21,10:22:22,3.9999,21,128
DESIF2-MAR08,2007-06-21,10:22:33,3.99,1,128
DESIF2-MAR08,2007-06-21,13:08:38,4,1,130
DESIF2-MAR08,2007-06-21,13:20:00,4.05,5,130
DESIF2-MAR08,2007-06-21,15:36:10,4.15,2,126
DESIF2-MAR08,2007-06-21,15:42:13,4.14,3,126
DESIF2-MAR08,2007-06-21,15:44:23,4.135,2,126
DESIF2-MAR08,2007-06-21,15:46:38,4.13,1,126
DESIF2-MAR08,2007-06-22,10:27:46,4.17,1,128
DESIF2-MAR08,2007-06-22,10:34:47,4.17,1,130
DESIF2-MAR08,2007-06-22,12:06:53,4.1,2,130
DESIF2-MAR08,2007-06-25,11:32:03,4.1,1,130
DESIF2-MAR08,2007-06-25,11:43:32,4.09,1,132
DESIF2-MAR08,2007-06-25,11:55:14,4.1,5,142
DESIF2-MAR08,2007-06-25,11:55:45,4.1,1,144
DESIF2-MAR08,2007-06-25,11:56:39,4.1,3,150
DESIF2-MAR08,2007-06-25,12:08:25,4.1,1,152
DESIF2-MAR08,2007-06-25,12:24:32,4.05,2,156
DESIF2-MAR08,2007-06-25,12:24:57,4.05,1,156
DESIF2-MAR08,2007-06-25,12:25:29,4.05,3,162
DESIF2-MAR08,2007-06-25,12:25:39,4.05,3,162
DESIF2-MAR08,2007-06-26,11:00:41,4.14,2,158
DESIF2-MAR08,2007-06-26,11:01:24,4.1,2,154
DESIF2-MAR08,2007-06-26,14:12:41,3.9,2,154
DESIF2-MAR08,2007-06-27,16:04:00,3.9699,0,154
DESIF2-MAR08,2007-06-28,13:01:57,3.97,1,156
DESIF2-MAR08,2007-06-28,13:11:47,3.98,1,158
DESIF2-MAR08,2007-06-28,13:20:53,3.99,1,160
DESIF2-MAR08,2007-06-28,13:44:28,4,1,162
DESIF2-MAR08,2007-06-28,14:22:44,4.02,1,164
DESIF2-MAR08,2007-06-28,14:52:10,4,1,166
DESIF2-MAR08,2007-06-29,16:07:18,4.045,0,166
DESIF2-MAR08,2007-07-02,14:04:42,4.1,1,166
DESIF2-MAR08,2007-07-03,11:42:55,4.0001,1,166
DESIF2-MAR08,2007-07-03,13:46:05,4.0001,4,174
DESIF2-MAR08,2007-07-04,10:52:40,4.1799,1,174
DESIF2-MAR08,2007-07-04,12:02:11,4.13,25,224
DESIF2-MAR08,2007-07-04,12:15:35,4.0999,25,270
DESIF2-MAR08,2007-07-04,12:16:57,4.1,10,290
DESIF2-MAR08,2007-07-04,12:19:50,4.099,20,330
DESIF2-MAR08,2007-07-04,13:17:16,4.01,1,330
DESIF2-MAR08,2007-07-04,13:27:08,4.01,5,320
DESIF2-MAR08,2007-07-04,13:28:30,4.01,2,316
DESIF2-MAR08,2007-07-04,13:30:08,4.01,3,310
DESIF2-MAR08,2007-07-04,13:42:11,4.01,2,306
DESIF2-MAR08,2007-07-04,14:06:26,4.04,1,306
DESIF2-MAR08,2007-07-04,14:17:50,4.05,1,306
DESIF2-MAR08,2007-07-05,11:44:17,4.05,5,296
DESIF2-MAR08,2007-07-05,11:56:46,4.05,5,286
DESIF2-MAR08,2007-07-06,13:52:12,4.1,11,274
DESIF2-MAR08,2007-07-09,16:03:52,4.1549,0,274
DESIF2-MAR08,2007-07-10,11:48:12,4.16,1,272
DESIF2-MAR08,2007-07-10,14:46:06,4.2,8,288
DESIF2-MAR08,2007-07-10,14:47:55,4.1675,1,288
DESIF2-MAR08,2007-07-10,14:48:50,4.1999,1,290
DESIF2-MAR08,2007-07-11,10:40:21,4.1,1,290
DESIF2-MAR08,2007-07-11,11:24:02,4.1,20,330
DESIF2-MAR08,2007-07-11,11:24:28,4.12,1,332
DESIF2-MAR08,2007-07-11,11:43:01,4.12,3,332
DESIF2-MAR08,2007-07-11,11:43:06,4.12,3,332
DESIF2-MAR08,2007-07-11,12:37:14,4.12,1,332
DESIF2-MAR08,2007-07-11,12:38:14,4.12,4,340
DESIF2-MAR08,2007-07-11,13:13:50,4.15,1,342
DESIF2-MAR08,2007-07-13,10:56:35,4.175,1,342
DESIF2-MAR08,2007-07-13,12:04:58,4.2,4,348
DESIF2-MAR08,2007-07-13,12:05:43,4.2,4,348
DESIF2-MAR08,2007-07-13,12:08:13,4.2,1,348
DESIF2-MAR08,2007-07-13,12:08:20,4.2,1,350
DESIF2-MAR08,2007-07-16,10:30:56,4.22,1,350
DESIF2-MAR08,2007-07-16,10:46:56,4.25,1,352
DESIF2-MAR08,2007-07-16,10:49:19,4.278,4,352
DESIF2-MAR08,2007-07-16,11:03:54,4.278,10,352
DESIF2-MAR08,2007-07-16,12:06:25,4.278,1,352
DESIF2-MAR08,2007-07-16,12:40:58,4.285,4,360
DESIF2-MAR08,2007-07-16,12:42:56,4.2,15,390
DESIF2-MAR08,2007-07-16,13:06:14,4.3,2,394
DESIF2-MAR08,2007-07-25,11:23:47,4.14,1,394
DESIF2-MAR08,2007-07-25,11:27:11,4.14,1,394
DESIF2-MAR08,2007-07-25,11:48:02,4.1102,4,394
DESIF2-MAR08,2007-07-25,14:15:03,4.1103,8,388
DESIF2-MAR08,2007-07-25,14:15:31,4.1,1,388
DESIF2-MAR08,2007-07-25,14:15:39,4.1,1,386
DESIF2-MAR08,2007-07-25,15:15:02,4.18,2,386
DESIF2-MAR08,2007-07-26,10:41:20,4.1801,1,384
DESIF2-MAR08,2007-07-26,11:07:22,4.1502,1,384
DESIF2-MAR08,2007-07-26,14:12:18,4.05,1,382
DESIF2-MAR08,2007-07-26,14:26:52,4.03,15,412
DESIF2-MAR08,2007-07-26,14:29:59,4.04,1,414
DESIF2-MAR08,2007-07-26,14:30:50,4.03,2,418
DESIF2-MAR08,2007-07-26,14:30:59,4.02,8,420
DESIF2-MAR08,2007-07-26,14:32:26,4.03,1,422
DESIF2-MAR08,2007-07-26,14:33:23,4.01,31,484
DESIF2-MAR08,2007-07-26,14:50:00,4.01,1,486
DESIF2-MAR08,2007-07-27,10:00:42,3.96,4,486
DESIF2-MAR08,2007-07-27,10:03:23,3.9501,5,496
DESIF2-MAR08,2007-07-27,10:05:16,3.83,1,498
DESIF2-MAR08,2007-07-27,10:05:38,3.83,1,500
DESIF2-MAR08,2007-07-27,10:05:52,3.7002,1,500
DESIF2-MAR08,2007-07-27,10:11:37,3.85,1,498
DESIF2-MAR08,2007-07-27,10:17:16,3.93,1,498
DESIF2-MAR08,2007-07-27,10:47:40,3.93,5,488
DESIF2-MAR08,2007-07-27,10:51:32,3.93,1,486
DESIF2-MAR08,2007-07-27,11:47:42,3.96,1,488
DESIF2-MAR08,2007-07-27,12:00:30,3.96,1,490
DESIF2-MAR08,2007-07-30,11:04:19,4,10,510
DESIF2-MAR08,2007-07-30,11:06:09,4,5,520
DESIF2-MAR08,2007-07-30,12:36:20,3.9,1,522
DESIF2-MAR08,2007-07-30,12:36:40,3.9,1,524
DESIF2-MAR08,2007-07-30,12:48:39,3.88,2,528
DESIF2-MAR08,2007-07-31,15:17:30,3.99,1,526
DESIF2-MAR08,2007-08-01,12:13:02,3.85,5,526
DESIF2-MAR08,2007-08-01,13:06:16,3.899,3,532
DESIF2-MAR08,2007-08-01,13:15:35,3.899,2,536
DESIF2-MAR08,2007-08-01,13:16:12,3.899,8,552
DESIF2-MAR08,2007-08-02,10:16:27,4.24,1,552
DESIF2-MAR08,2007-08-02,10:52:33,3.99,20,592
DESIF2-MAR08,2007-08-06,12:02:33,3.8,2,592
DESIF2-MAR08,2007-08-06,12:03:43,3.7801,3,586
DESIF2-MAR08,2007-08-06,13:25:59,3.85,7,600
DESIF2-MAR08,2007-08-06,13:27:14,3.8599,2,604
DESIF2-MAR08,2007-08-06,13:36:10,3.85,3,604
DESIF2-MAR08,2007-08-06,14:21:30,3.85,5,604
DESIF2-MAR08,2007-08-06,15:53:59,3.85,2,604
DESIF2-MAR08,2007-08-07,11:37:45,3.925,2,604
DESIF2-MAR08,2007-08-08,13:18:48,3.95,1,606
DESIF2-MAR08,2007-08-08,13:29:04,3.9499,1,606
DESIF2-MAR08,2007-08-08,13:48:23,3.95,3,610
DESIF2-MAR08,2007-08-08,13:49:49,4,2,610
DESIF2-MAR08,2007-08-08,14:07:20,4,5,616
DESIF2-MAR08,2007-08-08,15:20:42,4.03,1,616
DESIF2-MAR08,2007-08-09,12:25:33,3.85,1,618
DESIF2-MAR08,2007-08-09,13:10:28,3.85,2,622
DESIF2-MAR08,2007-08-09,14:29:59,3.9,1,624
DESIF2-MAR08,2007-08-09,15:50:34,3.85,1,626
DESIF2-MAR08,2007-08-10,10:43:14,3.9,3,632
DESIF2-MAR08,2007-08-10,13:25:43,3.8001,1,634
DESIF2-MAR08,2007-08-10,15:56:18,3.801,6,634
DESIF2-MAR08,2007-08-13,10:03:33,3.955,1,634
DESIF2-MAR08,2007-08-13,12:05:30,3.8001,2,636
DESIF2-MAR08,2007-08-13,13:10:25,3.85,1,638
DESIF2-MAR08,2007-08-13,14:19:54,3.8899,1,638
DESIF2-MAR08,2007-08-15,10:09:28,3.79,3,632
DESIF2-MAR08,2007-08-15,10:54:47,3.8,3,632
DESIF2-MAR08,2007-08-15,13:03:23,3.7551,1,634
DESIF2-MAR08,2007-08-15,13:45:24,3.7999,1,636
DESIF2-MAR08,2007-08-15,13:57:34,3.7777,1,638
DESIF2-MAR08,2007-08-15,15:46:03,3.82,1,636
DESIF2-MAR08,2007-08-16,10:05:29,3.7301,1,636
DESIF2-MAR08,2007-08-16,10:28:16,3.74,2,632
DESIF2-MAR08,2007-08-16,10:30:57,3.7301,1,630
DESIF2-MAR08,2007-08-16,10:31:28,3.73,5,628
DESIF2-MAR08,2007-08-16,10:41:37,3.7202,1,628
DESIF2-MAR08,2007-08-16,10:48:38,3.7205,3,630
DESIF2-MAR08,2007-08-16,10:50:40,3.72,3,632
DESIF2-MAR08,2007-08-16,11:19:43,3.8,2,636
DESIF2-MAR08,2007-08-16,11:19:53,3.805,1,638
DESIF2-MAR08,2007-08-16,12:05:12,3.7205,1,638
DESIF2-MAR08,2007-08-16,12:38:21,3.72,10,640
DESIF2-MAR08,2007-08-16,13:35:17,3.73,1,642
DESIF2-MAR08,2007-08-16,13:37:51,3.73,3,648
DESIF2-MAR08,2007-08-16,14:29:02,3.67,17,648
DESIF2-MAR08,2007-08-16,15:46:54,3.67,10,668
DESIF2-MAR08,2007-08-16,15:56:33,3.7198,7,668
DESIF2-MAR08,2007-08-17,11:07:27,3.76,3,674
DESIF2-MAR08,2007-08-17,12:52:08,3.76,1,674
DESIF2-MAR08,2007-08-17,12:53:17,3.76,5,684
DESIF2-MAR08,2007-08-17,12:54:31,3.75,5,694
DESIF2-MAR08,2007-08-17,13:03:16,3.74,1,696
DESIF2-MAR08,2007-08-17,13:24:54,3.71,1,696
DESIF2-MAR08,2007-08-17,15:04:38,3.76,1,696
DESIF2-MAR08,2007-08-17,15:10:32,3.795,1,698
DESIF2-MAR08,2007-08-17,15:35:53,3.82,2,702
DESIF2-MAR08,2007-08-17,15:40:32,3.835,2,706
DESIF2-MAR08,2007-08-17,15:48:21,3.85,2,710
DESIF2-MAR08,2007-08-20,11:08:21,3.9,2,714
DESIF2-MAR08,2007-08-20,11:09:30,3.9,2,714
DESIF2-MAR08,2007-08-20,13:59:09,3.83,1,714
DESIF2-MAR08,2007-08-20,15:50:51,3.8213,1,714
DESIF2-MAR08,2007-08-21,11:13:53,3.8213,3,714
DESIF2-MAR08,2007-08-21,11:19:43,3.82,1,714
DESIF2-MAR08,2007-08-21,13:59:36,3.832,1,716
DESIF2-MAR08,2007-08-22,15:52:16,3.9,3,710
DESIF2-MAR08,2007-08-23,10:39:16,4.02,1,712
DESIF2-MAR08,2007-08-23,10:55:03,4,1,712
DESIF2-MAR08,2007-08-23,11:41:23,3.9999,1,712
DESIF2-MAR08,2007-08-23,13:27:01,4.01,3,710
DESIF2-MAR08,2007-08-23,13:28:13,4.01,1,710
DESIF2-MAR08,2007-08-23,13:44:13,4.0475,1,712
DESIF2-MAR08,2007-08-23,14:12:06,4.04,3,712
DESIF2-MAR08,2007-08-24,13:58:28,4,2,712
DESIF2-MAR08,2007-08-24,14:38:00,3.99,1,712
DESIF2-MAR08,2007-08-24,14:38:22,3.998,5,718
DESIF2-MAR08,2007-08-24,15:04:00,3.998,2,722
DESIF2-MAR08,2007-08-24,15:29:58,4.0098,1,724
DESIF2-MAR08,2007-08-27,11:30:12,4.05,5,724
DESIF2-MAR08,2007-08-27,12:17:07,4.03,5,714
DESIF2-MAR08,2007-08-27,12:24:10,4.0001,1,714
DESIF2-MAR08,2007-08-27,13:01:42,4.0002,4,714
DESIF2-MAR08,2007-08-27,13:04:48,4.0002,1,714
DESIF2-MAR08,2007-08-27,13:36:10,4.09,10,734
DESIF2-MAR08,2007-08-27,13:50:54,4.09,1,736
DESIF2-MAR08,2007-08-27,13:59:30,4.08,1,736
DESIF2-MAR08,2007-08-27,14:11:40,4.08,3,736
DESIF2-MAR08,2007-08-27,14:54:49,4.09,5,736
DESIF2-MAR08,2007-08-28,15:56:47,4.01,2,732
DESIF2-MAR08,2007-08-29,15:25:20,4.015,5,722
DESIF2-MAR08,2007-08-29,15:35:50,4.01,4,714
DESIF2-MAR08,2007-08-30,13:46:39,3.9501,5,714
DESIF2-MAR08,2007-08-30,14:18:49,3.95,30,714
DESIF2-MAR08,2007-08-31,15:57:04,4.09,1,716
DESIF2-MAR08,2007-09-03,14:39:44,4,3,718
DESIF2-MAR08,2007-09-03,15:52:47,3.9999,1,718
DESIF2-MAR08,2007-09-04,11:28:19,3.9001,1,716
DESIF2-MAR08,2007-09-04,14:28:01,3.911,1,716
DESIF2-MAR08,2007-09-04,14:28:33,3.91,1,716
DESIF2-MAR08,2007-09-04,15:06:25,3.9901,1,716
DESIF2-MAR08,2007-09-04,15:11:20,3.9901,1,716
DESIF2-MAR08,2007-09-05,10:44:02,3.9901,1,714
DESIF2-MAR08,2007-09-05,13:25:25,3.9901,2,714
DESIF2-MAR08,2007-09-06,10:07:32,3.921,2,714
DESIF2-MAR08,2007-09-06,10:22:37,3.9899,1,716
DESIF2-MAR08,2007-09-06,10:25:49,3.9899,2,716
DESIF2-MAR08,2007-09-06,10:38:38,3.989,1,716
DESIF2-MAR08,2007-09-06,13:04:25,3.98,1,718
DESIF2-MAR08,2007-09-06,13:20:39,3.9311,5,728
DESIF2-MAR08,2007-09-06,13:26:32,3.9311,5,738
DESIF2-MAR08,2007-09-06,13:30:28,3.9311,5,748
DESIF2-MAR08,2007-09-06,13:36:51,3.931,5,758
DESIF2-MAR08,2007-09-06,13:43:34,3.931,5,768
DESIF2-MAR08,2007-09-06,13:59:57,3.98,9,786
DESIF2-MAR08,2007-09-06,14:00:10,3.98,1,788
DESIF2-MAR08,2007-09-06,14:17:30,3.93,2,788
DESIF2-MAR08,2007-09-06,14:21:14,3.93,1,790
DESIF2-MAR08,2007-09-06,15:10:35,3.98,1,790
DESIF2-MAR08,2007-09-07,12:55:47,3.95,5,800
DESIF2-MAR08,2007-09-07,12:56:47,3.95,1,802
DESIF2-MAR08,2007-09-07,12:57:22,3.95,6,814
DESIF2-MAR08,2007-09-07,12:57:46,3.95,3,820
DESIF2-MAR08,2007-09-07,13:49:37,3.948,3,826
DESIF2-MAR08,2007-09-07,13:49:45,3.948,4,834
DESIF2-MAR08,2007-09-07,13:49:52,3.948,3,840
DESIF2-MAR08,2007-09-10,11:20:44,3.9001,28,890
DESIF2-MAR08,2007-09-10,11:25:25,3.94,1,890
DESIF2-MAR08,2007-09-10,12:13:46,3.9001,10,910
DESIF2-MAR08,2007-09-10,12:15:25,3.9001,1,912
DESIF2-MAR08,2007-09-10,13:07:25,3.9,10,930
DESIF2-MAR08,2007-09-10,13:41:52,3.9,10,950
DESIF2-MAR08,2007-09-10,14:12:05,3.91,1,952
DESIF2-MAR08,2007-09-10,14:31:10,3.929,2,956
DESIF2-MAR08,2007-09-11,12:09:31,3.8701,2,956
DESIF2-MAR08,2007-09-11,14:51:00,3.8998,1,954
DESIF2-MAR08,2007-09-12,11:44:14,3.9,6,956
DESIF2-MAR08,2007-09-12,14:49:04,3.825,8,962
DESIF2-MAR08,2007-09-12,15:23:00,3.82,8,974
DESIF2-MAR08,2007-09-12,15:23:20,3.82,1,976
DESIF2-MAR08,2007-09-13,10:08:52,3.8,13,1002
DESIF2-MAR08,2007-09-13,10:24:12,3.77,1,1004
DESIF2-MAR08,2007-09-13,12:09:13,3.83,1,1006
DESIF2-MAR08,2007-09-13,12:11:47,3.8001,1,1006
DESIF2-MAR08,2007-09-13,12:29:21,3.83,3,1012
DESIF2-MAR08,2007-09-13,12:33:32,3.835,10,1032
DESIF2-MAR08,2007-09-13,15:05:19,3.82,3,1032
DESIF2-MAR08,2007-09-13,15:11:21,3.82,1,1032
DESIF2-MAR08,2007-09-13,15:13:59,3.82,1,1032
DESIF2-MAR08,2007-09-13,15:57:35,3.8997,1,1032
DESIF2-MAR08,2007-09-14,10:33:13,3.912,1,1030
DESIF2-MAR08,2007-09-14,10:53:51,3.86,3,1024
DESIF2-MAR08,2007-09-14,11:13:14,3.9,10,1044
DESIF2-MAR08,2007-09-14,11:42:18,3.91,8,1052
DESIF2-MAR08,2007-09-14,11:49:20,3.91,1,1052
DESIF2-MAR08,2007-09-14,11:50:00,3.91,1,1054
DESIF2-MAR08,2007-09-14,14:07:43,3.88,2,1054
DESIF2-MAR08,2007-09-14,14:33:19,3.9,10,1074
DESIF2-MAR08,2007-09-14,14:36:27,3.88,4,1080
DESIF2-MAR08,2007-09-14,14:40:45,3.88,1,1082
DESIF2-MAR08,2007-09-14,14:56:23,3.87,2,1086
DESIF2-MAR08,2007-09-17,10:41:43,3.8003,7,1096
DESIF2-MAR08,2007-09-17,10:41:45,3.8,1,1098
DESIF2-MAR08,2007-09-17,10:41:59,3.8,1,1100
DESIF2-MAR08,2007-09-17,11:02:53,3.75,1,1100
DESIF2-MAR08,2007-09-17,11:08:41,3.8,1,1102
DESIF2-MAR08,2007-09-17,14:50:49,3.7701,9,1102
DESIF2-MAR08,2007-09-17,14:51:09,3.77,1,1104
DESIF2-MAR08,2007-09-17,15:54:23,3.897,4,1110
DESIF2-MAR08,2007-09-18,10:32:53,3.76,3,1110
DESIF2-MAR08,2007-09-18,10:58:30,3.7311,10,1112
DESIF2-MAR08,2007-09-18,11:01:26,3.79,15,1112
DESIF2-MAR08,2007-09-18,11:06:58,3.79,4,1112
DESIF2-MAR08,2007-09-18,11:20:02,3.77,3,1116
DESIF2-MAR08,2007-09-18,11:35:38,3.775,4,1120
DESIF2-MAR08,2007-09-18,12:38:14,3.8,1,1122
DESIF2-MAR08,2007-09-18,12:39:02,3.8,1,1124
DESIF2-MAR08,2007-09-18,12:45:26,3.81,1,1126
DESIF2-MAR08,2007-09-18,14:36:26,3.83,1,1128
DESIF2-MAR08,2007-09-18,15:16:50,3.8,1,1126
DESIF2-MAR08,2007-09-18,15:17:14,3.8,4,1126
DESIF2-MAR08,2007-09-18,15:19:00,3.8,1,1126
DESIF2-MAR08,2007-09-18,15:30:32,3.8,10,1126
DESIF2-MAR08,2007-09-18,15:35:54,3.8299,5,1116
DESIF2-MAR08,2007-09-18,15:36:26,3.83,10,1136
DESIF2-MAR08,2007-09-18,15:40:30,3.845,1,1138
DESIF2-MAR08,2007-09-18,15:44:37,3.845,1,1140
DESIF2-MAR08,2007-09-18,15:45:52,3.83,1,1138
DESIF2-MAR08,2007-09-19,10:35:59,3.835,1,1138
DESIF2-MAR08,2007-09-19,10:59:14,3.89,1,1138
DESIF2-MAR08,2007-09-19,12:27:39,3.8455,1,1136
DESIF2-MAR08,2007-09-19,12:29:29,3.845,2,1136
DESIF2-MAR08,2007-09-19,12:31:13,3.836,2,1136
DESIF2-MAR08,2007-09-19,13:27:13,3.8998,1,1136
DESIF2-MAR08,2007-09-19,13:32:01,3.9,1,1136
DESIF2-MAR08,2007-09-20,11:51:38,3.85,2,1140
DESIF2-MAR08,2007-09-20,14:09:28,3.78,4,1142
DESIF2-MAR08,2007-09-20,14:09:42,3.8001,1,1144
DESIF2-MAR08,2007-09-20,14:41:25,3.79,15,1174
DESIF2-MAR08,2007-09-20,14:58:45,3.797,1,1176
DESIF2-MAR08,2007-09-20,15:57:27,3.75,1,1176
DESIF2-MAR08,2007-09-20,15:59:52,3.83,1,1178
DESIF2-MAR08,2007-09-21,13:17:41,3.75,1,1178
DESIF2-MAR08,2007-09-21,14:38:19,3.789,5,1178
DESIF2-MAR08,2007-09-21,14:40:07,3.7701,6,1180
DESIF2-MAR08,2007-09-21,14:40:50,3.795,1,1182
DESIF2-MAR08,2007-09-21,14:50:58,3.795,1,1182
DESIF2-MAR08,2007-09-21,15:17:01,3.785,1,1184
DESIF2-MAR08,2007-09-21,15:48:50,3.765,1,1182
DESIF2-MAR08,2007-09-21,15:50:24,3.76,1,1182
DESIF2-MAR08,2007-09-24,10:56:35,3.8,1,1184
DESIF2-MAR08,2007-09-24,13:55:57,3.79,1,1186
DESIF2-MAR08,2007-09-24,14:43:29,3.7501,1,1186
DESIF2-MAR08,2007-09-25,10:35:57,3.7,1,1186
DESIF2-MAR08,2007-09-25,11:19:25,3.7,1,1188
DESIF2-MAR08,2007-09-25,11:46:03,3.698,1,1188
DESIF2-MAR08,2007-09-25,11:51:27,3.698,1,1190
DESIF2-MAR08,2007-09-25,12:08:57,3.69,1,1192
DESIF2-MAR08,2007-09-25,12:21:55,3.699,1,1194
DESIF2-MAR08,2007-09-25,13:27:55,3.6998,1,1196
DESIF2-MAR08,2007-09-25,13:39:47,3.6998,1,1198
DESIF2-MAR08,2007-09-25,13:42:51,3.7,1,1200
DESIF2-MAR08,2007-09-25,13:50:57,3.7,2,1204
DESIF2-MAR08,2007-09-25,13:57:49,3.651,1,1206
DESIF2-MAR08,2007-09-25,15:11:21,3.65,4,1212
DESIF2-MAR08,2007-09-25,15:22:11,3.69,1,1214
DESIF2-MAR08,2007-09-25,15:35:15,3.69,2,1216
